subst relation Ntrain Ntest topv P1 P1w
head 468 15863 276 1243584 0.0030889491268990734 1.424375456774441e-06
head 260 1260348 25515 943111 4.760589932304411e-06 2.0293688527431955e-07
head 243 324923 12571 690898 1.5388261218811842e-05 3.231945437198057e-07
head 24 1639330 47099 1939128 1.6470143290246625e-05 1.2960259811364027e-06
head 257 31456 10097 892258 0.0006993896236012207 1.1798211706596728e-05
head 418 24780 2759 416922 0.005447941888619854 2.511243414542009e-05
head 326 59565 2933 1464635 0.0008058423570888945 3.94881509489164e-06
head 289 221291 10339 1150450 5.8746175849899004e-05 1.0147586925452403e-06
head 188 257410 7571 1413823 0.00013208500058272795 1.670749702881553e-06
head 125 72356 4996 1185903 5.5282215711205703e-05 4.614371059275335e-07
head 111 56928 128898 2173710 0.00017566048341765037 3.782900308176405e-05
head 436 1301107 8315 2118807 6.1486103756262935e-06 8.541691285894686e-08
head 265 47185 1072 2387132 0.00016954540637914591 3.036585101462124e-07
head 296 22321 7624 1106364 0.00013440258052954617 1.7119660140662577e-06
head 404 57137 31117 1197374 0.000315032290809808 1.6377870584283496e-05
head 75 404421 4298 996392 0.0003709006208876394 2.663352288098055e-06
head 343 22861 495 1366158 0.00021871309216569705 1.8087753197685052e-07
head 337 70182 12195 96345 0.0001852326807443504 3.774018811810268e-06
head 53 3343 23101 147333 0.0008973975471133712 3.4635407541088926e-05
head 252 43248 3890 2205178 9.24898261191269e-05 6.0110204881421e-07
head 331 204230 8467 1146370 0.0003721294618812124 5.264150033912727e-06
head 293 60412 5272 2271781 0.0011421571873137786 1.0060183965927663e-05
head 504 32197 3693 562736 0.0010559990061185824 6.515495677997946e-06
head 426 67911 6876 100304 0.0005153804243789666 5.920636943427246e-06
head 10 4158 44501 1711504 0.0007215007215007215 5.364276853543289e-05
head 235 680780 28752 690909 8.813419900702135e-06 4.2336715822420075e-07
head 256 17271 1089 128217 0.00017370158068438424 3.1603580923224305e-07
head 385 47927 1458 219518 0.0002712458530682079 6.607319002535275e-07
head 338 31882 362 489315 0.002666081174330343 1.6124512108697022e-06
head 85 27746 12336 1892929 0.0003964535428530239 8.170926574423062e-06
head 274 2558406 9386 950524 1.5243866688867991e-05 2.390453697423827e-07
head 494 4556 528 852176 0.0013169446883230904 1.1617323992337922e-06
head 282 84080 4524 300511 0.0002616555661274976 1.977685448097796e-06
head 317 4153 1981 1076059 0.0016855285335901757 5.578600075587114e-06
head 364 339865 13376 2014487 8.532799788151177e-05 1.9068760300648433e-06
head 90 179105 6846 1628732 6.69998045839033e-05 7.663286717602611e-07
head 17 887 1890 219518 0.009019165727170236 2.8479529832195424e-05
head 356 6276 426 1111977 0.0015933715742511153 1.1340476634610632e-06
head 86 135521 6652 1628265 0.00026564148729717164 2.952247663911842e-06
head 396 1884 1777 1329638 0.0021231422505307855 6.303346257818078e-06
head 303 13048 10603 1251384 0.0004598405885959534 8.1459306363668e-06
head 281 61969 1850 365641 0.0002259194113185625 6.982805094025669e-07
head 310 947 17 1076541 0.0031678986272439284 8.997561856566159e-08
head 473 6901 2888 2064050 0.0020286914939863787 9.788538224710108e-06
head 221 632 3088 1544073 0.006329113924050633 3.265313235217579e-05
head 476 1453 7 408897 0.0020646937370956643 2.414672990857741e-08
head 236 38104 270 2084552 0.0025719084610539575 1.1601761017747573e-06
head 22 341 22 1009037 0.06158357771260997 2.2635611972363213e-06
head 469 583 3472 391054 0.024013722126929673 0.0001392976665414178
head 113 180 1607 2009434 0.016666666666666666 4.474755085822294e-05
head 175 554674 6708 2175589 0.00028665486393809696 3.2126026489270685e-06
head 422 249966 5332 1696886 3.600489666594657e-05 3.2074238446164616e-07
head 438 310 360 1925142 0.03225806451612903 1.940195311916847e-05
head 210 14445 43 221002 0.0006230529595015577 4.476082296270607e-08
